date,value
2019-04-01 10:30:00,702.65
2019-04-01 11:30:00,709.94
2019-04-01 12:30:00,719.93
2019-04-01 13:30:00,727.15
2019-04-01 14:30:00,738.47
2019-04-01 15:30:00,729.33
2019-04-01 16:30:00,717.43
2019-04-01 17:30:00,727.49
2019-04-01 18:30:00,763.18
2019-04-01 19:30:00,718.44
2019-04-01 20:30:00,520.12
2019-04-01 21:30:00,531.12
2019-04-01 22:30:00,542.92
2019-04-01 23:30:00,553.17
2019-04-02 00:30:00,565.56
2019-04-02 01:30:00,586.39
2019-04-02 02:30:00,620.38
2019-04-02 03:30:00,633.71
2019-04-02 04:30:00,642.58
2019-04-02 05:30:00,655.47
2019-04-02 06:30:00,668.54
2019-04-02 07:30:00,676.35
2019-04-02 08:30:00,691.0
2019-04-02 09:30:00,706.07
2019-04-02 10:30:00,722.27
2019-04-02 11:30:00,734.3
2019-04-02 12:30:00,748.37
2019-04-02 13:30:00,765.04
2019-04-02 14:30:00,788.69
2019-04-02 15:30:00,644.02
2019-04-02 16:30:00,555.32
2019-04-02 17:30:00,531.8
2019-04-02 18:30:00,636.72
2019-04-02 19:30:00,685.46
2019-04-02 20:30:00,698.77
2019-04-02 21:30:00,714.28
2019-04-02 22:30:00,774.04
2019-04-02 23:30:00,805.93
2019-04-03 00:30:00,843.3
2019-04-03 01:30:00,855.1
2019-04-03 02:30:00,838.55
2019-04-03 03:30:00,676.49
2019-04-03 04:30:00,677.0
2019-04-03 05:30:00,679.31
2019-04-03 06:30:00,681.52
2019-04-03 07:30:00,683.09
2019-04-03 08:30:00,683.44
2019-04-03 09:30:00,714.59
2019-04-03 10:30:00,1148.7
2019-04-03 11:30:00,1254.46
2019-04-03 12:30:00,1265.68
2019-04-03 13:30:00,508.74
2019-04-03 14:30:00,548.6
2019-04-03 15:30:00,694.2
2019-04-03 16:30:00,1112.03
2019-04-03 17:30:00,1230.02
2019-04-03 18:30:00,1233.29
2019-04-03 19:30:00,1236.36
2019-04-03 20:30:00,1239.25
2019-04-03 21:30:00,1242.3
2019-04-03 22:30:00,1238.24
2019-04-03 23:30:00,1241.99
2019-04-04 00:30:00,1245.89
2019-04-04 01:30:00,1212.0
2019-04-04 02:30:00,1246.32
2019-04-04 03:30:00,1193.05
2019-04-04 04:30:00,1191.4
2019-04-04 05:30:00,1186.02
2019-04-04 06:30:00,1186.24
2019-04-04 07:30:00,1187.74
2019-04-04 08:30:00,1185.09
2019-04-04 09:30:00,1196.58
2019-04-04 10:30:00,1205.95
2019-04-04 11:30:00,1216.35
2019-04-04 12:30:00,1229.96
2019-04-04 13:30:00,1240.64
2019-04-04 14:30:00,1048.88
2019-04-04 15:30:00,550.8
2019-04-04 16:30:00,577.89
2019-04-04 17:30:00,595.13
2019-04-04 18:30:00,598.86
2019-04-04 19:30:00,617.93
2019-04-04 20:30:00,621.47
2019-04-04 21:30:00,637.42
2019-04-04 22:30:00,651.56
2019-04-04 23:30:00,665.4
2019-04-05 00:30:00,672.33
2019-04-05 11:30:00,502.19
2019-04-05 14:30:00,514.64
2019-04-05 15:30:00,677.68
2019-04-05 16:30:00,992.0
2019-04-05 17:30:00,944.96
2019-04-05 18:30:00,1157.8
2019-04-05 19:30:00,1321.79
2019-04-05 20:30:00,755.69
2019-04-05 21:30:00,729.79
2019-04-05 22:30:00,799.82
2019-04-05 23:30:00,1063.65
2019-04-06 00:30:00,1212.9
2019-04-06 01:30:00,1242.18
2019-04-06 02:30:00,1054.11
2019-04-06 03:30:00,1189.11
2019-04-06 04:30:00,1384.57
2019-04-06 05:30:00,1441.31
2019-04-06 06:30:00,1455.15
2019-04-06 07:30:00,1261.64
2019-04-06 08:30:00,1106.65
2019-04-06 09:30:00,1107.13
2019-04-06 10:30:00,1115.85
2019-04-06 11:30:00,971.74
2019-04-06 12:30:00,616.27
2019-04-06 13:30:00,681.87
2019-04-06 14:30:00,708.76
2019-04-06 15:30:00,723.23
2019-04-06 16:30:00,901.87
2019-04-06 17:30:00,1235.64
2019-04-06 18:30:00,1301.86
2019-04-06 19:30:00,972.98
2019-04-06 20:30:00,662.59
2019-04-06 21:30:00,798.87
2019-04-06 22:30:00,579.36
2019-04-06 23:30:00,769.41
2019-04-07 00:30:00,1146.95
2019-04-07 01:30:00,1165.49
2019-04-07 02:30:00,1157.72
2019-04-07 03:30:00,1374.06
2019-04-07 04:30:00,1619.75
2019-04-07 05:30:00,1197.66
2019-04-07 06:30:00,1197.75
2019-04-07 07:30:00,1191.94
2019-04-07 08:30:00,1192.95
2019-04-07 09:30:00,1193.71
2019-04-07 10:30:00,1193.72
2019-04-07 11:30:00,1197.52
2019-04-07 12:30:00,1216.33
2019-04-07 13:30:00,1225.3
2019-04-07 14:30:00,1265.75
2019-04-07 15:30:00,1498.65
2019-04-07 16:30:00,1441.89
2019-04-07 17:30:00,1399.04
2019-04-07 18:30:00,1403.49
2019-04-07 19:30:00,1406.97
2019-04-07 20:30:00,1413.74
2019-04-07 21:30:00,1422.11
2019-04-07 22:30:00,1428.86
2019-04-07 23:30:00,1436.24
2019-04-08 00:30:00,1443.01
2019-04-08 01:30:00,1453.0
2019-04-08 02:30:00,1461.56
2019-04-08 03:30:00,1469.9
2019-04-08 04:30:00,1481.4
2019-04-08 05:30:00,1490.68
2019-04-08 06:30:00,1497.16
2019-04-08 07:30:00,1505.2
2019-04-08 08:30:00,1511.3
2019-04-08 09:30:00,1520.3
2019-04-08 10:30:00,1527.15
2019-04-08 14:30:00,609.74
2019-04-08 15:30:00,710.96
2019-04-08 16:30:00,733.61
2019-04-08 17:30:00,749.57
2019-04-08 18:30:00,759.56
2019-04-08 19:30:00,769.14
2019-04-08 20:30:00,781.16
2019-04-08 21:30:00,797.04
2019-04-08 22:30:00,806.46
2019-04-08 23:30:00,775.07
2019-04-09 00:30:00,733.52
2019-04-09 01:30:00,749.0
2019-04-09 02:30:00,762.24
2019-04-09 03:30:00,776.19
2019-04-09 04:30:00,787.47
2019-04-09 05:30:00,801.8
2019-04-09 06:30:00,817.22
2019-04-09 07:30:00,831.89
2019-04-09 08:30:00,845.89
2019-04-09 09:30:00,859.67
2019-04-09 10:30:00,706.05
2019-04-09 11:30:00,589.64
2019-04-09 12:30:00,610.27
2019-04-09 13:30:00,614.44
2019-04-09 14:30:00,617.49
2019-04-09 15:30:00,629.7
2019-04-09 16:30:00,639.49
2019-04-09 17:30:00,643.83
2019-04-09 18:30:00,642.05
2019-04-09 19:30:00,641.61
2019-04-09 20:30:00,645.58
2019-04-09 21:30:00,646.15
2019-04-09 22:30:00,647.42
2019-04-09 23:30:00,652.07
2019-04-10 00:30:00,655.75
2019-04-10 01:30:00,520.45
2019-04-10 02:30:00,728.51
2019-04-10 03:30:00,1151.92
2019-04-10 04:30:00,1180.47
