date,value
2019-03-25 14:30:00,1074.45
2019-03-25 15:30:00,1076.68
2019-03-25 16:30:00,1077.0
2019-03-25 17:30:00,1079.44
2019-03-25 18:30:00,1080.35
2019-03-25 19:30:00,783.89
2019-03-25 20:30:00,535.56
2019-03-25 21:30:00,586.46
2019-03-25 22:30:00,602.32
2019-03-25 23:30:00,611.28
2019-03-26 00:30:00,636.73
2019-03-26 01:30:00,668.74
2019-03-26 02:30:00,693.74
2019-03-26 03:30:00,709.25
2019-03-26 04:30:00,720.43
2019-03-26 05:30:00,739.81
2019-03-26 06:30:00,752.97
2019-03-26 07:30:00,766.54
2019-03-26 08:30:00,784.5
2019-03-26 09:30:00,804.46
2019-03-26 10:30:00,827.59
2019-03-26 11:30:00,851.36
2019-03-26 12:30:00,667.91
2019-03-26 13:30:00,474.44
2019-03-26 14:30:00,510.33
2019-03-26 15:30:00,513.87
2019-03-26 16:30:00,559.04
2019-03-26 17:30:00,585.19
2019-03-26 18:30:00,597.15
2019-03-26 19:30:00,650.13
2019-03-26 20:30:00,691.85
2019-03-26 21:30:00,713.37
2019-03-26 22:30:00,726.16
2019-03-26 23:30:00,739.21
2019-03-27 00:30:00,754.51
2019-03-27 01:30:00,776.09
2019-03-27 02:30:00,791.23
2019-03-27 03:30:00,807.35
2019-03-27 04:30:00,827.83
2019-03-27 05:30:00,851.26
2019-03-27 06:30:00,693.44
2019-03-27 07:30:00,499.75
2019-03-27 08:30:00,497.1
2019-03-27 09:30:00,500.32
2019-03-27 10:30:00,517.21
2019-03-27 11:30:00,534.41
2019-03-27 12:30:00,548.12
2019-03-27 13:30:00,554.92
2019-03-27 14:30:00,561.35
2019-03-27 15:30:00,563.6
2019-03-27 16:30:00,565.21
2019-03-27 17:30:00,570.73
2019-03-27 18:30:00,571.03
2019-03-27 19:30:00,574.47
2019-03-27 20:30:00,576.34
2019-03-27 21:30:00,577.03
2019-03-27 22:30:00,579.13
2019-03-27 23:30:00,573.48
2019-03-28 00:30:00,635.46
2019-03-28 01:30:00,671.32
