date,value
2019-03-25 14:30:00,1077.5
2019-03-25 15:30:00,1080.81
2019-03-25 16:30:00,1083.25
2019-03-25 17:30:00,1084.18
2019-03-25 18:30:00,1085.03
2019-03-25 19:30:00,792.73
2019-03-25 20:30:00,549.97
2019-03-25 21:30:00,567.42
2019-03-25 22:30:00,574.76
2019-03-25 23:30:00,585.78
2019-03-26 00:30:00,603.76
2019-03-26 01:30:00,629.64
2019-03-26 02:30:00,652.46
2019-03-26 03:30:00,663.41
2019-03-26 04:30:00,670.38
2019-03-26 05:30:00,681.62
2019-03-26 06:30:00,694.15
2019-03-26 07:30:00,704.76
2019-03-26 08:30:00,718.62
2019-03-26 09:30:00,731.06
2019-03-26 10:30:00,752.23
2019-03-26 11:30:00,767.2
2019-03-26 12:30:00,777.46
2019-03-26 13:30:00,792.92
2019-03-26 14:30:00,808.94
2019-03-26 15:30:00,717.2
2019-03-26 16:30:00,585.68
2019-03-26 17:30:00,604.29
2019-03-26 18:30:00,629.97
2019-03-26 19:30:00,665.39
2019-03-26 20:30:00,704.04
2019-03-26 21:30:00,720.06
2019-03-26 22:30:00,728.74
2019-03-26 23:30:00,741.84
2019-03-27 00:30:00,752.87
2019-03-27 01:30:00,763.23
2019-03-27 02:30:00,777.02
2019-03-27 03:30:00,789.14
2019-03-27 04:30:00,801.84
2019-03-27 05:30:00,813.03
2019-03-27 06:30:00,828.63
2019-03-27 07:30:00,845.4
2019-03-27 08:30:00,862.75
2019-03-27 09:30:00,567.95
2019-03-27 10:30:00,498.57
2019-03-27 11:30:00,498.52
2019-03-27 12:30:00,504.01
2019-03-27 13:30:00,505.82
2019-03-27 14:30:00,514.68
2019-03-27 15:30:00,524.6
2019-03-27 16:30:00,526.74
2019-03-27 17:30:00,545.65
2019-03-27 18:30:00,546.41
2019-03-27 19:30:00,547.56
2019-03-27 20:30:00,549.97
2019-03-27 21:30:00,552.82
2019-03-27 22:30:00,551.95
2019-03-27 23:30:00,560.16
2019-03-28 00:30:00,624.4
2019-03-28 01:30:00,685.69
2019-03-28 02:30:00,705.64
2019-03-28 03:30:00,720.43
2019-03-28 04:30:00,730.16
2019-03-28 05:30:00,740.76
2019-03-28 06:30:00,753.3
2019-03-28 07:30:00,766.34
2019-03-28 08:30:00,780.63
2019-03-28 09:30:00,792.58
2019-03-28 10:30:00,807.37
2019-03-28 11:30:00,825.79
2019-03-28 12:30:00,839.42
2019-03-28 13:30:00,855.11
2019-03-28 14:30:00,869.85
2019-03-28 15:30:00,544.22
2019-03-28 16:30:00,524.64
2019-03-28 17:30:00,525.59
2019-03-28 18:30:00,528.1
2019-03-28 19:30:00,529.06
2019-03-28 20:30:00,531.18
2019-03-28 21:30:00,532.44
2019-03-28 22:30:00,533.28
2019-03-28 23:30:00,540.08
2019-03-29 00:30:00,541.78
2019-03-29 01:30:00,542.74
2019-03-29 02:30:00,544.51
2019-03-29 03:30:00,546.37
2019-03-29 04:30:00,549.06
2019-03-29 05:30:00,550.38
2019-03-29 06:30:00,551.73
2019-03-29 07:30:00,552.96
2019-03-29 08:30:00,553.37
2019-03-29 09:30:00,556.04
2019-03-29 10:30:00,556.93
2019-03-29 11:30:00,557.5
2019-03-29 12:30:00,559.28
2019-03-29 13:30:00,561.03
2019-03-29 14:30:00,560.94
2019-03-29 15:30:00,561.64
2019-03-29 16:30:00,564.66
2019-03-29 17:30:00,566.69
2019-03-29 18:30:00,570.66
2019-03-29 19:30:00,571.79
2019-03-29 20:30:00,571.82
2019-03-29 21:30:00,573.39
2019-03-29 22:30:00,576.32
2019-03-29 23:30:00,579.52
2019-03-30 00:30:00,579.84
2019-03-30 01:30:00,582.26
2019-03-30 02:30:00,583.96
2019-03-30 03:30:00,589.33
2019-03-30 04:30:00,592.11
2019-03-30 05:30:00,593.86
2019-03-30 06:30:00,596.71
2019-03-30 07:30:00,597.63
2019-03-30 08:30:00,600.2
2019-03-30 09:30:00,602.72
2019-03-30 10:30:00,604.73
2019-03-30 11:30:00,606.47
2019-03-30 12:30:00,608.33
2019-03-30 13:30:00,609.73
2019-03-30 14:30:00,611.82
2019-03-30 15:30:00,611.75
2019-03-30 16:30:00,613.44
2019-03-30 17:30:00,614.85
2019-03-30 18:30:00,616.15
2019-03-30 19:30:00,620.21
2019-03-30 20:30:00,621.3
2019-03-30 21:30:00,623.48
2019-03-30 22:30:00,625.46
2019-03-30 23:30:00,627.98
2019-03-31 00:30:00,629.72
2019-03-31 01:30:00,631.57
2019-03-31 02:30:00,634.51
2019-03-31 03:30:00,637.49
2019-03-31 04:30:00,638.65
2019-03-31 05:30:00,640.77
2019-03-31 06:30:00,642.24
2019-03-31 07:30:00,644.53
2019-03-31 08:30:00,646.74
2019-03-31 09:30:00,647.32
2019-03-31 10:30:00,650.6
2019-03-31 11:30:00,653.67
2019-03-31 12:30:00,655.79
2019-03-31 13:30:00,657.42
2019-03-31 14:30:00,659.54
2019-03-31 15:30:00,662.04
2019-03-31 16:30:00,664.28
2019-03-31 17:30:00,665.18
2019-03-31 18:30:00,667.96
2019-03-31 19:30:00,669.59
2019-03-31 20:30:00,672.21
2019-03-31 21:30:00,672.86
2019-03-31 22:30:00,675.43
2019-03-31 23:30:00,677.89
2019-04-01 00:30:00,679.1
2019-04-01 01:30:00,680.71
2019-04-01 02:30:00,682.82
2019-04-01 03:30:00,685.31
2019-04-01 04:30:00,686.99
2019-04-01 05:30:00,695.92
2019-04-01 06:30:00,700.09
2019-04-01 07:30:00,700.83
2019-04-01 08:30:00,703.97
2019-04-01 09:30:00,709.42
2019-04-01 10:30:00,712.96
2019-04-01 11:30:00,720.63
2019-04-01 12:30:00,721.4
2019-04-01 13:30:00,736.18
2019-04-01 14:30:00,751.08
2019-04-01 15:30:00,733.33
2019-04-01 16:30:00,724.72
2019-04-01 17:30:00,739.79
2019-04-01 18:30:00,778.26
2019-04-01 19:30:00,749.7
2019-04-01 20:30:00,520.14
2019-04-01 21:30:00,531.43
2019-04-01 22:30:00,541.61
2019-04-01 23:30:00,576.52
2019-04-02 00:30:00,598.08
2019-04-02 01:30:00,613.67
2019-04-02 02:30:00,625.03
2019-04-02 03:30:00,633.83
2019-04-02 04:30:00,645.09
2019-04-02 05:30:00,654.34
2019-04-02 06:30:00,666.24
2019-04-02 07:30:00,675.89
2019-04-02 08:30:00,697.9
2019-04-02 09:30:00,712.24
2019-04-02 10:30:00,729.58
2019-04-02 11:30:00,794.17
2019-04-02 12:30:00,812.61
2019-04-02 13:30:00,830.11
2019-04-02 14:30:00,847.38
2019-04-02 15:30:00,513.27
2019-04-02 16:30:00,535.13
2019-04-02 17:30:00,546.0
2019-04-02 18:30:00,635.62
2019-04-02 19:30:00,684.8
2019-04-02 20:30:00,705.81
2019-04-02 21:30:00,717.47
2019-04-02 22:30:00,748.23
2019-04-02 23:30:00,738.58
2019-04-03 00:30:00,760.35
2019-04-03 01:30:00,779.5
2019-04-03 02:30:00,789.28
2019-04-03 03:30:00,797.16
2019-04-03 04:30:00,805.43
2019-04-03 05:30:00,811.89
2019-04-03 06:30:00,820.04
2019-04-03 07:30:00,832.17
2019-04-03 08:30:00,843.82
2019-04-03 09:30:00,806.5
2019-04-03 10:30:00,1108.61
2019-04-03 11:30:00,1166.67
2019-04-03 12:30:00,1179.25
2019-04-03 13:30:00,519.2
2019-04-03 14:30:00,562.7
2019-04-03 15:30:00,686.45
2019-04-03 16:30:00,1064.06
2019-04-03 17:30:00,1172.83
2019-04-03 18:30:00,1178.42
2019-04-03 19:30:00,1180.17
